disciplina,periodo,unidade,turno,aulas,professor
aeds1,1,coreu,M,3,theldo
ti1_t1,1,coreu,M,2,rommel
ti1_t2,1,coreu,M,2,joao
ti1_t3,1,coreu,M,2,illo
introducao_t1,1,coreu,M,1,pietro
introducao_t2,1,coreu,M,1,fatima
iniciacao_t1,1,coreu,M,1,carlos
iniciacao_t2,1,coreu,M,1,carlos
iniciacao_t3,1,coreu,M,1,carlos
iniciacao_t4,1,coreu,M,1,carlos
aeds2_t1,2,coreu,M,2,max
aeds2_t2,2,coreu,M,2,felipe
aeds2_t3,2,coreu,M,2,walisson
culturarm,2,coreu,M,1,cida
ac1_t1,2,coreu,M,2,theldo
ac1_t2,2,coreu,M,2,claudio
bd_t1,2,coreu,M,2,wladmir
bd_t2,2,coreu,M,2,wladmir
ac2_t1,3,coreu,M,1,romanelli
ac2_t2,3,coreu,M,1,romanelli
ac2_t3,3,coreu,M,1,romanelli
ac2_t4,3,coreu,M,1,romanelli
lp,3,coreu,M,2,marco
calculo2,3,coreu,M,2,flaviana
es1,3,coreu,M,2,humberto
lddm,4,coreu,M,2,illo
grafos,4,coreu,M,3,silvio
modelagem,4,coreu,M,2,zarate
ia,4,coreu,M,2,cristiane
ti4_t1,4,coreu,M,1,cristiane
ti4_t2,4,coreu,M,1,mol
ti4_t3,4,coreu,M,1,rosilane
ac3,5,coreu,M,2,cota
paa,5,coreu,M,2,silvio
redes1,5,coreu,M,2,max
es2,5,coreu,M,2,sandro
so,5,coreu,M,2,mark
ti5_t1,5,coreu,M,1,felipe
ti5_t2,5,coreu,M,1,matheus
ftc,6,coreu,M,2,mark
pai,6,coreu,M,2,alexei
filosofiarm,6,coreu,M,1,silvia
cp,6,coreu,M,1,cota
cd,6,coreu,M,1,fatima
ti6_t1,6,coreu,M,1,cota
ti6_t2,6,coreu,M,1,fatima
compiladores,7,coreu,M,2,alexei
cg,7,coreu,M,2,rosilane
redes2,7,coreu,M,2,marco
sas,8,coreu,M,1,ribas
topicos3,8,coreu,M,1,wladmir
topicos4,8,coreu,M,1,humberto
